l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
164.0,8098512.0,18273.0,431.0,4.6535,4.767,0.328569297135659,0.24205740854471175
165.0,80342322.0,70466.0,371.0,5.0848,5.198300000000001,0.313624879489407,0.2377063644166299
166.0,61939113.0,54287.0,422.0,4.086,4.1768,0.33651913869795275,0.24430684371164563
167.0,65616374.0,40590.0,161.0,6.2198,6.4468000000000005,0.3755526559354381,0.2493698315385072
168.0,31294569.0,62077.0,486.0,5.1756,5.2437000000000005,0.2922335448055419,0.2428553034292985
169.0,21723279.0,22690.0,228.0,3.3369000000000004,3.4050000000000002,0.28796089440754,0.244437874083573
170.0,19537578.0,24113.0,97.0,4.6989,4.7216000000000005,0.2551226799745203,0.24444183057910998
171.0,27602708.0,85866.0,255.0,3.5639000000000003,3.6774000000000004,0.36242777098866574,0.24402670118059666
172.0,62669964.0,8033.0,231.0,3.8817000000000004,3.9725,0.3497652728992955,0.2485487408103244
173.0,15061170.0,96902.0,2.0,3.3596000000000004,3.4050000000000002,0.285043177225311,0.2485343922823298
174.0,89158224.0,25690.0,363.0,5.675000000000001,5.902,0.3399367132105716,0.24484388590258463
175.0,38539451.0,91699.0,358.0,5.7885,6.038200000000001,0.3451158943676663,0.244536399438509
176.0,191488.0,23813.0,190.0,3.9271000000000003,4.0179,0.3305508381276971,0.23346052225832803
177.0,4950804.0,44526.0,443.0,4.8124,4.8805000000000005,0.2785747153686177,0.24517490268376882
178.0,32352119.0,1614.0,433.0,4.0179,4.2222,0.3424285789980936,0.23814379998744617
179.0,84334956.0,48795.0,425.0,5.0621,5.1756,0.36062900538963305,0.2427221963285626
180.0,29675839.0,89508.0,211.0,4.0633,4.2676,0.3885653723475598,0.2408260393487075
181.0,87781418.0,82931.0,19.0,3.9271000000000003,4.3811,0.35632453148524346,0.2457655065705178
182.0,71902097.0,77472.0,153.0,5.5388,5.6069,0.32110497623790757,0.2395266208943678
183.0,45908957.0,13731.0,319.0,2.9283,3.0645000000000002,0.35496290564017896,0.2431702472561432
184.0,36543543.0,8956.0,169.0,6.764600000000001,6.9008,0.3440760835593062,0.2334453679223146
185.0,14413384.0,92408.0,177.0,4.108700000000001,4.4038,0.34283066556086966,0.24579765292813907
186.0,39513676.0,82030.0,283.0,6.1517,6.2879000000000005,0.3477136357183734,0.2479441062473419
187.0,51278305.0,72693.0,340.0,5.7431,5.8566,0.32163308521871337,0.24877995790754004
188.0,66694468.0,87470.0,286.0,4.2903,4.4265,0.3658837238966991,0.24247934063501542
189.0,20198599.0,12913.0,445.0,3.9725,4.0179,0.27238544083276456,0.238431498501083
190.0,70829648.0,18924.0,229.0,3.8363,3.9044000000000003,0.2757896270323948,0.24307952235280214
